OID_,abbrev,name,count_yr,country_code,field_counters,feeder_counters,min_parties,max_parties,feeder_hrs,nocturnal_hrs,nocturnal_distance
1,BCBA,Bamfield,90,CA,9,0,0,0,0.000000000000000,2.000000000000000,8.000000000000000
2,BCBA,Bamfield,90,CA,9,0,0,0,0.000000000000000,2.000000000000000,8.000000000000000
3,BCCB,Cranbrook,90,CA,6,0,0,0,12.000000000000000,0.000000000000000,0.000000000000000
4,BCCB,Cranbrook,90,CA,6,0,0,0,12.000000000000000,0.000000000000000,0.000000000000000
5,BCCH,Chilliwack,90,CA,24,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
6,BCCH,Chilliwack,90,CA,24,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
7,BCCO,Comox,90,CA,29,0,0,0,6.000000000000000,0.000000000000000,0.000000000000000
8,BCCO,Comox,90,CA,29,0,0,0,6.000000000000000,0.000000000000000,0.000000000000000
9,BCCR,Campbell River,90,CA,23,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
10,BCCR,Campbell River,90,CA,23,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
11,BCDB,Deep Bay,90,CA,17,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
12,BCDB,Deep Bay,90,CA,17,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
13,BC04,Creston,91,CA,6,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
14,BC04,Creston,91,CA,6,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
15,BCBA,Bamfield,91,CA,12,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
16,BCBA,Bamfield,91,CA,12,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
17,BCBL,Burns Lake-Francois Lake,91,CA,8,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
18,BCBL,Burns Lake-Francois Lake,91,CA,8,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
19,BCCB,Cranbrook,91,CA,9,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
20,BCCB,Cranbrook,91,CA,9,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
21,BCCH,Chilliwack,91,CA,25,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
22,BCCH,Chilliwack,91,CA,25,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
23,BCCO,Comox,91,CA,36,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
24,BCCO,Comox,91,CA,36,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
25,BCCR,Campbell River,91,CA,28,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
26,BCCR,Campbell River,91,CA,28,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
27,BCDB,Deep Bay,91,CA,14,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
28,BCDB,Deep Bay,91,CA,14,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
29,BCBA,Bamfield,92,CA,7,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
30,BCBA,Bamfield,92,CA,7,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
31,BCBL,Burns Lake-Francois Lake,92,CA,13,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
32,BCBL,Burns Lake-Francois Lake,92,CA,13,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
33,BCCB,Cranbrook,92,CA,9,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
34,BCCB,Cranbrook,92,CA,9,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
35,BCCH,Chilliwack,92,CA,29,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
36,BCCH,Chilliwack,92,CA,29,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
37,BCCO,Comox,92,CA,47,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
38,BCCO,Comox,92,CA,47,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
39,BCCR,Campbell River,92,CA,28,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
40,BCCR,Campbell River,92,CA,28,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
41,BCDB,Deep Bay,92,CA,27,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
42,BCDB,Deep Bay,92,CA,27,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
43,BCBA,Bamfield,93,CA,17,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
44,BCBA,Bamfield,93,CA,17,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
45,BCBL,Burns Lake-Francois Lake,93,CA,13,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
46,BCBL,Burns Lake-Francois Lake,93,CA,13,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
47,BCCB,Cranbrook,93,CA,11,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
48,BCCB,Cranbrook,93,CA,11,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
49,BCCH,Chilliwack,93,CA,31,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
50,BCCH,Chilliwack,93,CA,31,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
51,BCCO,Comox,93,CA,49,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
52,BCCO,Comox,93,CA,49,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
53,BCCR,Campbell River,93,CA,17,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
54,BCCR,Campbell River,93,CA,17,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
55,BCDB,Deep Bay,93,CA,21,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
56,BCDB,Deep Bay,93,CA,21,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
57,BCBA,Bamfield,94,CA,9,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
58,BCBA,Bamfield,94,CA,9,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
59,BCBL,Burns Lake-Francois Lake,94,CA,9,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
60,BCBL,Burns Lake-Francois Lake,94,CA,9,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
61,BCCB,Cranbrook,94,CA,8,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
62,BCCB,Cranbrook,94,CA,8,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
63,BCCH,Chilliwack,94,CA,36,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
64,BCCH,Chilliwack,94,CA,36,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
65,BCCO,Comox,94,CA,34,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
66,BCCO,Comox,94,CA,34,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
67,BCCR,Campbell River,94,CA,24,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
68,BCCR,Campbell River,94,CA,24,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
69,BCDB,Deep Bay,94,CA,16,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
70,BCDB,Deep Bay,94,CA,16,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
71,BCBA,Bamfield,95,CA,13,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
72,BCBA,Bamfield,95,CA,13,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
73,BCBL,Burns Lake-Francois Lake,95,CA,8,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
74,BCBL,Burns Lake-Francois Lake,95,CA,8,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
75,BCBR,Broughton Strait,95,CA,20,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
76,BCBR,Broughton Strait,95,CA,20,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
77,BCCB,Cranbrook,95,CA,14,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
78,BCCB,Cranbrook,95,CA,14,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
79,BCCH,Chilliwack,95,CA,29,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
80,BCCH,Chilliwack,95,CA,29,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
81,BCCO,Comox,95,CA,52,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
82,BCCO,Comox,95,CA,52,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
83,BCCR,Campbell River,95,CA,28,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
84,BCCR,Campbell River,95,CA,28,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
85,BCDB,Deep Bay,95,CA,24,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
86,BCDB,Deep Bay,95,CA,24,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
87,BCBA,Bamfield,96,CA,14,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
88,BCBA,Bamfield,96,CA,14,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
89,BCBL,Burns Lake-Francois Lake,96,CA,11,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
90,BCBL,Burns Lake-Francois Lake,96,CA,11,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
91,BCBR,Broughton Strait,96,CA,20,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
92,BCBR,Broughton Strait,96,CA,20,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
93,BCCB,Cranbrook,96,CA,13,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
94,BCCB,Cranbrook,96,CA,13,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
95,BCCH,Chilliwack,96,CA,25,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
96,BCCH,Chilliwack,96,CA,25,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
97,BCCL,Clearwater,96,CA,9,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
98,BCCL,Clearwater,96,CA,9,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
99,BCCO,Comox,96,CA,54,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
100,BCCO,Comox,96,CA,54,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
101,BCCR,Campbell River,96,CA,40,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
102,BCCR,Campbell River,96,CA,40,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
103,BCDB,Deep Bay,96,CA,32,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
104,BCDB,Deep Bay,96,CA,32,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
105,BCBA,Bamfield,97,CA,13,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
106,BCBA,Bamfield,97,CA,13,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
107,BCBL,Burns Lake-Francois Lake,97,CA,4,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
108,BCBL,Burns Lake-Francois Lake,97,CA,4,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
109,BCBR,Broughton Strait,97,CA,27,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
110,BCBR,Broughton Strait,97,CA,27,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
111,BCCB,Cranbrook,97,CA,9,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
112,BCCB,Cranbrook,97,CA,9,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
113,BCCH,Chilliwack,97,CA,27,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
114,BCCH,Chilliwack,97,CA,27,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
115,BCCL,Clearwater,97,CA,6,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
116,BCCL,Clearwater,97,CA,6,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
117,BCDB,Deep Bay,97,CA,20,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
118,BCDB,Deep Bay,97,CA,20,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
119,BCBA,Bamfield,98,CA,11,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
120,BCBA,Bamfield,98,CA,11,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
121,BCBL,Burns Lake-Francois Lake,98,CA,9,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
122,BCBL,Burns Lake-Francois Lake,98,CA,9,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
123,BCBR,Broughton Strait,98,CA,26,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
124,BCBR,Broughton Strait,98,CA,26,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
125,BCCB,Cranbrook,98,CA,13,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
126,BCCB,Cranbrook,98,CA,13,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
127,BCCH,Chilliwack,98,CA,29,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
128,BCCH,Chilliwack,98,CA,29,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
129,BCCL,Clearwater,98,CA,6,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
130,BCCL,Clearwater,98,CA,6,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
131,BCCO,Comox,98,CA,53,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
132,BCCO,Comox,98,CA,53,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
133,BCCR,Campbell River,98,CA,40,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
134,BCCR,Campbell River,98,CA,40,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
135,BCDB,Deep Bay,98,CA,28,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
136,BCDB,Deep Bay,98,CA,28,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
137,BCBA,Bamfield,99,CA,8,2,3,3,2.000000000000000,0.000000000000000,0.000000000000000
138,BCBA,Bamfield,99,CA,8,2,3,3,2.000000000000000,0.000000000000000,0.000000000000000
139,BCBA,Bamfield,99,CA,8,2,3,3,2.000000000000000,0.000000000000000,0.000000000000000
140,BCBL,Burns Lake-Francois Lake,99,CA,8,16,5,5,29.000000000000000,1.000000000000000,1.000000000000000
141,BCBL,Burns Lake-Francois Lake,99,CA,8,16,5,5,29.000000000000000,1.000000000000000,1.000000000000000
142,BCBR,Broughton Strait,99,CA,21,2,4,5,4.000000000000000,0.000000000000000,0.000000000000000
143,BCBR,Broughton Strait,99,CA,21,2,4,5,4.000000000000000,0.000000000000000,0.000000000000000
144,BCBR,Broughton Strait,99,CA,21,2,4,5,4.000000000000000,0.000000000000000,0.000000000000000
145,BCCB,Cranbrook,99,CA,10,6,4,4,12.000000000000000,0.000000000000000,0.000000000000000
146,BCCB,Cranbrook,99,CA,10,6,4,4,12.000000000000000,0.000000000000000,0.000000000000000
147,BCCH,Chilliwack,99,CA,20,0,10,10,0.000000000000000,0.000000000000000,0.000000000000000
148,BCCH,Chilliwack,99,CA,20,0,10,10,0.000000000000000,0.000000000000000,0.000000000000000
149,BCCO,Comox,99,CA,42,4,11,11,2.000000000000000,0.000000000000000,0.000000000000000
150,BCCO,Comox,99,CA,42,4,11,11,2.000000000000000,0.000000000000000,0.000000000000000
151,BCCR,Campbell River,99,CA,37,0,11,13,0.000000000000000,0.000000000000000,0.000000000000000
152,BCCR,Campbell River,99,CA,37,0,11,13,0.000000000000000,0.000000000000000,0.000000000000000
153,BCCT,Creston Valley,99,CA,22,1,7,8,6.000000000000000,0.000000000000000,0.000000000000000
154,BCCT,Creston Valley,99,CA,22,1,7,8,6.000000000000000,0.000000000000000,0.000000000000000
155,BCDB,Deep Bay,99,CA,37,0,5,5,0.000000000000000,0.000000000000000,0.000000000000000
156,BCDB,Deep Bay,99,CA,37,0,5,5,0.000000000000000,0.000000000000000,0.000000000000000
157,BCBA,Bamfield,100,CA,6,2,2,2,2.000000000000000,0.000000000000000,0.000000000000000
158,BCBA,Bamfield,100,CA,6,2,2,2,2.000000000000000,0.000000000000000,0.000000000000000
159,BCBA,Bamfield,100,CA,6,2,2,2,2.000000000000000,0.000000000000000,0.000000000000000
160,BCBR,Broughton Strait,100,CA,21,2,6,7,11.000000000000000,0.000000000000000,0.000000000000000
161,BCBR,Broughton Strait,100,CA,21,2,6,7,11.000000000000000,0.000000000000000,0.000000000000000
162,BCCB,Cranbrook,100,CA,14,8,4,4,24.000000000000000,0.000000000000000,0.000000000000000
163,BCCB,Cranbrook,100,CA,14,8,4,4,24.000000000000000,0.000000000000000,0.000000000000000
164,BCCH,Chilliwack,100,CA,26,0,9,9,0.000000000000000,0.000000000000000,0.000000000000000
165,BCCH,Chilliwack,100,CA,26,0,9,9,0.000000000000000,0.000000000000000,0.000000000000000
166,BCCO,Comox,100,CA,48,0,10,10,0.000000000000000,0.000000000000000,0.000000000000000
167,BCCO,Comox,100,CA,48,0,10,10,0.000000000000000,0.000000000000000,0.000000000000000
168,BCCR,Campbell River,100,CA,36,0,12,15,0.000000000000000,0.000000000000000,0.000000000000000
169,BCCR,Campbell River,100,CA,36,0,12,15,0.000000000000000,0.000000000000000,0.000000000000000
170,BCCT,Creston Valley,100,CA,22,0,7,7,0.000000000000000,0.000000000000000,0.000000000000000
171,BCCT,Creston Valley,100,CA,22,0,7,7,0.000000000000000,0.000000000000000,0.000000000000000
172,BCDB,Deep Bay,100,CA,30,0,5,5,0.000000000000000,0.000000000000000,0.000000000000000
173,BCDB,Deep Bay,100,CA,30,0,5,5,0.000000000000000,0.000000000000000,0.000000000000000
174,BCDC,Dawson Creek,100,CA,16,1,4,6,4.000000000000000,1.000000000000000,21.000000000000000
175,BCDC,Dawson Creek,100,CA,16,1,4,6,4.000000000000000,1.000000000000000,21.000000000000000
176,BCAM,Abbotsford-Mission,101,CA,15,14,9,9,28.000000000000000,0.000000000000000,0.000000000000000
177,BCAM,Abbotsford-Mission,101,CA,15,14,9,9,28.000000000000000,0.000000000000000,0.000000000000000
178,BCBA,Bamfield,101,CA,27,2,3,3,1.000000000000000,1.000000000000000,1.000000000000000
179,BCBA,Bamfield,101,CA,27,2,3,3,1.000000000000000,1.000000000000000,1.000000000000000
180,BCBA,Bamfield,101,CA,27,2,3,3,1.000000000000000,1.000000000000000,1.000000000000000
181,BCBK,Bridge Lake,101,CA,5,5,1,1,3.000000000000000,0.000000000000000,0.000000000000000
182,BCBK,Bridge Lake,101,CA,5,5,1,1,3.000000000000000,0.000000000000000,0.000000000000000
183,BCBL,Burns Lake-Francois Lake,101,CA,5,7,3,3,8.000000000000000,2.000000000000000,5.000000000000000
184,BCBL,Burns Lake-Francois Lake,101,CA,5,7,3,3,8.000000000000000,2.000000000000000,5.000000000000000
185,BCBR,Broughton Strait,101,CA,23,2,6,10,7.000000000000000,0.000000000000000,0.000000000000000
186,BCBR,Broughton Strait,101,CA,23,2,6,10,7.000000000000000,0.000000000000000,0.000000000000000
187,BCCB,Cranbrook,101,CA,12,7,4,4,14.000000000000000,0.000000000000000,0.000000000000000
188,BCCB,Cranbrook,101,CA,12,7,4,4,14.000000000000000,0.000000000000000,0.000000000000000
189,BCCH,Chilliwack,101,CA,20,0,9,9,0.000000000000000,0.000000000000000,0.000000000000000
190,BCCH,Chilliwack,101,CA,20,0,9,9,0.000000000000000,0.000000000000000,0.000000000000000
191,BCCO,Comox,101,CA,28,16,10,10,0.000000000000000,0.000000000000000,0.000000000000000
192,BCCO,Comox,101,CA,28,16,10,10,0.000000000000000,0.000000000000000,0.000000000000000
193,BCCR,Campbell River,101,CA,33,30,0,0,0.000000000000000,0.000000000000000,0.000000000000000
194,BCCR,Campbell River,101,CA,33,30,0,0,0.000000000000000,0.000000000000000,0.000000000000000
195,BCCT,Creston Valley,101,CA,25,3,8,8,8.000000000000000,0.000000000000000,0.000000000000000
196,BCCT,Creston Valley,101,CA,25,3,8,8,8.000000000000000,0.000000000000000,0.000000000000000
197,BCDB,Deep Bay,101,CA,27,0,12,12,0.000000000000000,0.000000000000000,0.000000000000000
198,BCDB,Deep Bay,101,CA,27,0,12,12,0.000000000000000,0.000000000000000,0.000000000000000
199,BCDC,Dawson Creek,101,CA,19,0,5,7,0.000000000000000,2.000000000000000,32.000000000000000
200,BCDC,Dawson Creek,101,CA,19,0,5,7,0.000000000000000,2.000000000000000,32.000000000000000
201,BCAM,Abbotsford-Mission,102,CA,18,15,8,8,30.000000000000000,0.000000000000000,2.000000000000000
202,BCAM,Abbotsford-Mission,102,CA,18,15,8,8,30.000000000000000,0.000000000000000,2.000000000000000
203,BCBA,Bamfield,102,CA,3,0,1,1,0.000000000000000,0.000000000000000,0.000000000000000
204,BCBA,Bamfield,102,CA,3,0,1,1,0.000000000000000,0.000000000000000,0.000000000000000
205,BCBA,Bamfield,102,CA,3,0,1,1,0.000000000000000,0.000000000000000,0.000000000000000
206,BCBK,Bridge Lake,102,CA,6,6,1,1,3.000000000000000,0.000000000000000,0.000000000000000
207,BCBK,Bridge Lake,102,CA,6,6,1,1,3.000000000000000,0.000000000000000,0.000000000000000
208,BCBL,Burns Lake-Francois Lake,102,CA,7,9,5,5,15.000000000000000,2.000000000000000,5.000000000000000
209,BCBL,Burns Lake-Francois Lake,102,CA,7,9,5,5,15.000000000000000,2.000000000000000,5.000000000000000
210,BCBR,Broughton Strait,102,CA,21,2,6,8,5.000000000000000,0.000000000000000,0.000000000000000
211,BCBR,Broughton Strait,102,CA,21,2,6,8,5.000000000000000,0.000000000000000,0.000000000000000
212,BCCB,Cranbrook,102,CA,15,8,4,4,16.000000000000000,0.000000000000000,0.000000000000000
213,BCCB,Cranbrook,102,CA,15,8,4,4,16.000000000000000,0.000000000000000,0.000000000000000
214,BCCH,Chilliwack,102,CA,26,0,11,11,0.000000000000000,0.000000000000000,0.000000000000000
215,BCCH,Chilliwack,102,CA,26,0,11,11,0.000000000000000,0.000000000000000,0.000000000000000
216,BCCI,Cortes Island,102,CA,7,0,4,4,0.000000000000000,0.000000000000000,0.000000000000000
217,BCCI,Cortes Island,102,CA,7,0,4,4,0.000000000000000,0.000000000000000,0.000000000000000
218,BCCI,Cortes Island,102,CA,7,0,4,4,0.000000000000000,0.000000000000000,0.000000000000000
219,BCCO,Comox,102,CA,44,5,12,13,1.000000000000000,0.000000000000000,0.000000000000000
220,BCCO,Comox,102,CA,44,5,12,13,1.000000000000000,0.000000000000000,0.000000000000000
221,BCCR,Campbell River,102,CA,29,30,10,11,0.000000000000000,0.000000000000000,0.000000000000000
222,BCCR,Campbell River,102,CA,29,30,10,11,0.000000000000000,0.000000000000000,0.000000000000000
223,BCCT,Creston Valley,102,CA,27,4,9,12,8.000000000000000,0.000000000000000,0.000000000000000
224,BCCT,Creston Valley,102,CA,27,4,9,12,8.000000000000000,0.000000000000000,0.000000000000000
225,BCDB,Deep Bay,102,CA,33,0,5,5,0.000000000000000,0.000000000000000,0.000000000000000
226,BCDB,Deep Bay,102,CA,33,0,5,5,0.000000000000000,0.000000000000000,0.000000000000000
227,BCDC,Dawson Creek,102,CA,18,2,6,8,4.000000000000000,1.000000000000000,17.000000000000000
228,BCDC,Dawson Creek,102,CA,18,2,6,8,4.000000000000000,1.000000000000000,17.000000000000000
229,BCAM,Abbotsford-Mission,103,CA,23,6,10,10,13.000000000000000,6.000000000000000,27.000000000000000
230,BCAM,Abbotsford-Mission,103,CA,23,6,10,10,13.000000000000000,6.000000000000000,27.000000000000000
231,BCBA,Bamfield,103,CA,4,0,2,2,0.000000000000000,0.000000000000000,0.000000000000000
232,BCBA,Bamfield,103,CA,4,0,2,2,0.000000000000000,0.000000000000000,0.000000000000000
233,BCBA,Bamfield,103,CA,4,0,2,2,0.000000000000000,0.000000000000000,0.000000000000000
234,BCBK,Bridge Lake,103,CA,4,0,1,1,0.000000000000000,0.000000000000000,0.000000000000000
235,BCBK,Bridge Lake,103,CA,4,0,1,1,0.000000000000000,0.000000000000000,0.000000000000000
236,BCBL,Burns Lake-Francois Lake,103,CA,8,14,6,6,14.000000000000000,1.000000000000000,1.000000000000000
237,BCBL,Burns Lake-Francois Lake,103,CA,8,14,6,6,14.000000000000000,1.000000000000000,1.000000000000000
238,BCBR,Broughton Strait,103,CA,24,2,6,7,6.000000000000000,0.000000000000000,0.000000000000000
239,BCBR,Broughton Strait,103,CA,24,2,6,7,6.000000000000000,0.000000000000000,0.000000000000000
240,BCBR,Broughton Strait,103,CA,24,2,6,7,6.000000000000000,0.000000000000000,0.000000000000000
241,BCCB,Cranbrook,103,CA,20,2,6,6,8.000000000000000,0.000000000000000,0.000000000000000
242,BCCB,Cranbrook,103,CA,20,2,6,6,8.000000000000000,0.000000000000000,0.000000000000000
243,BCCH,Chilliwack,103,CA,31,0,14,14,0.000000000000000,0.000000000000000,0.000000000000000
244,BCCH,Chilliwack,103,CA,31,0,14,14,0.000000000000000,0.000000000000000,0.000000000000000
245,BCCI,Cortes Island,103,CA,20,14,3,3,28.000000000000000,1.000000000000000,0.000000000000000
246,BCCI,Cortes Island,103,CA,20,14,3,3,28.000000000000000,1.000000000000000,0.000000000000000
247,BCCO,Comox,103,CA,50,10,12,12,3.000000000000000,0.000000000000000,0.000000000000000
248,BCCO,Comox,103,CA,50,10,12,12,3.000000000000000,0.000000000000000,0.000000000000000
249,BCCR,Campbell River,103,CA,28,31,11,12,0.000000000000000,1.000000000000000,3.000000000000000
250,BCCR,Campbell River,103,CA,28,31,11,12,0.000000000000000,1.000000000000000,3.000000000000000
251,BCCT,Creston Valley,103,CA,23,1,6,12,4.000000000000000,0.000000000000000,0.000000000000000
252,BCCT,Creston Valley,103,CA,23,1,6,12,4.000000000000000,0.000000000000000,0.000000000000000
253,BCDA,D'arcy-Birken,103,CA,11,1,6,6,7.000000000000000,0.000000000000000,0.000000000000000
254,BCDA,D'arcy-Birken,103,CA,11,1,6,6,7.000000000000000,0.000000000000000,0.000000000000000
255,BCDB,Deep Bay,103,CA,23,2,4,4,0.000000000000000,0.000000000000000,0.000000000000000
256,BCDB,Deep Bay,103,CA,23,2,4,4,0.000000000000000,0.000000000000000,0.000000000000000
257,BCDC,Dawson Creek,103,CA,13,0,5,6,0.000000000000000,1.000000000000000,25.000000000000000
258,BCDC,Dawson Creek,103,CA,13,0,5,6,0.000000000000000,1.000000000000000,25.000000000000000
259,BCAH,Apex-Hedley,104,CA,13,0,6,6,0.000000000000000,0.000000000000000,0.000000000000000
260,BCAH,Apex-Hedley,104,CA,13,0,6,6,0.000000000000000,0.000000000000000,0.000000000000000
261,BCAH,Apex-Hedley,104,CA,13,0,6,6,0.000000000000000,0.000000000000000,0.000000000000000
262,BCAM,Abbotsford-Mission,104,CA,25,24,11,11,52.000000000000000,0.000000000000000,0.000000000000000
263,BCAM,Abbotsford-Mission,104,CA,25,24,11,11,52.000000000000000,0.000000000000000,0.000000000000000
264,BCBK,Bridge Lake,104,CA,4,0,1,1,0.000000000000000,0.000000000000000,0.000000000000000
265,BCBK,Bridge Lake,104,CA,4,0,1,1,0.000000000000000,0.000000000000000,0.000000000000000
266,BCBL,Burns Lake-Francois Lake,104,CA,6,9,5,5,19.000000000000000,0.000000000000000,0.000000000000000
267,BCBL,Burns Lake-Francois Lake,104,CA,6,9,5,5,19.000000000000000,0.000000000000000,0.000000000000000
268,BCBR,Broughton Strait,104,CA,14,2,7,7,3.000000000000000,0.000000000000000,0.000000000000000
269,BCBR,Broughton Strait,104,CA,14,2,7,7,3.000000000000000,0.000000000000000,0.000000000000000
270,BCCA,Cawston,104,CA,12,3,6,6,6.000000000000000,0.000000000000000,0.000000000000000
271,BCCA,Cawston,104,CA,12,3,6,6,6.000000000000000,0.000000000000000,0.000000000000000
